Name,Hours,Contact,Online Order,Address,Georeferenced Column
Sheetz,Monday- Open 24 hours   Tuesday- Open 24 hours  Wednesday- Open 24 hours Thursday- Open 24 hours     Friday- Open 24 hours         Saturday- Open 24 hours    Sunday- Open 24 hours ,(814) 382-0402,Doordash-                https://www.doordash.com/convenience/store/sheetz-conneaut-lake-24871986/?utm_campaign=gpa Postmates-              https://postmates.com/store/sheetz-315-water-st-box-5096-159/pD7QShgcTQmcyaNmmtmuIg?utm_campaign=place-action-link-grocohol&utm_medium=organic&utm_source=google           Ubereats-                  https://www.ubereats.com/store/sheetz-315-water-st-box-5096-159/pD7QShgcTQmcyaNmmtmuIg?utm_campaign=place-action-link-grocohol&utm_medium=organic&utm_source=google,"315 Water St BOX 5096, Conneaut Lake, pA 16316",POINT (-80.304720 41.603010)
Sheetz,Monday- Open 24 hours   Tuesday- Open 24 hours  Wednesday- Open 24 hours Thursday- Open 24 hours     Friday- Open 24 hours         Saturday- Open 24 hours    Sunday- Open 24 hours ,(814) 827-7434,Doordash-                https://www.doordash.com/convenience/store/sheetz-titusville-2458311/?utm_campaign=gpa,"331 W Central Ave, Titusville, PA 16354",POINT (-79.678460 41.627080)
Shell,Monday- Open 24 hours   Tuesday- Open 24 hours  Wednesday- Open 24 hours Thursday- Open 24 hours     Friday- Open 24 hours         Saturday- Open 24 hours    Sunday- Open 24 hours ,(814) 337-0912,,"324 Pine St, Meadville PA 16335",POINT (-80.151730 41.634870)
Sunoco,Monday- Open 24 hours   Tuesday- Open 24 hours  Wednesday- Open 24 hours Thursday- Open 24 hours     Friday- Open 24 hours         Saturday- Open 24 hours    Sunday- Open 24 hours ,814-863-5622,,"201 Main St, Saegertown, PA 16433",POINT (-80.145560 41.715150)
TOPS Friendly Markets,Monday- 6:00 am  - 12:00 am Tuesday- 6:00 am - 12:00 am  Wednesday- 6:00 am - 12:00 am Thursday- 6:00 am - 12:00 am     Friday- 6:00 am - 12:00 am         Saturday- 6:00 am - 12:00 am    Sunday- 6:00 am - 12:00 am,(814) 724-4025,https://www.instacart.com/store/tops-markets/storefront,"144 W Center St, Meadville, PA 16335",POINT (-80.155820 41.639900)
Valesky’s,Monday- 7:00 am  - 9:00 pm Tuesday- 7:00 am - 9:00 pm  Wednesday- 7:00 am - 9:00 pm Thursday- 7:00 am - 9:00 pm     Friday- 7:00 am - 9:00 pm         Saturday- 7:00 am - 9:00 pm    Sunday- CLOSED,(814) 336-5121,,"1044 Water St, Meadville, PA 16335",POINT (-80.156910 41.635480)
Verna’s Discount Grocery and Deli,Monday- 7:00 am  - 8:00 pm Tuesday- 7:00 am - 8:00 pm  Wednesday- 7:00 am - 8:00 pm Thursday- 7:00 am - 8:00 pm     Friday- 7:00 am - 8:00 pm         Saturday- 7:00 am - 6:00 pm    Sunday- 8:00 am - 5:00 pm,(814) 337-0055,,"560 Washington St, Meadville, PA 16335",POINT (-80.140480 41.640310)
Walgreens,Monday- 8:00 am  - 10:00 pm Tuesday- 8:00 am - 10:00 pm  Wednesday- 8:00 am - 10:00 pm Thursday- 8:00 am - 10:00 pm     Friday- 8:00 am - 10:00 pm         Saturday- 8:00 am - 10:00 pm    Sunday- 8:00 am - 10:00 pm,814-337-0582,,"379 North St, Meadville, PA 16335",POINT (-80.147510 41.640510)
Walmart Supercenter,Baby & Nursery Services Hours-             Monday- 6:00 am  - 11:00 pm Tuesday- 6:00 am - 11:00 pm  Wednesday- 6:00 am - 11:00 pm Thursday- 6:00 am - 11:00 pm     Friday- 6:00 am - 11:00 pm         Saturday- 6:00 am - 11:00 pm    Sunday- 6:00 am - 11:00 pm         Bakery Hours-                               Monday- 7:00 am  - 10:00 pm Tuesday- 7:00 am - 10:00 pm  Wednesday- 7:00 am - 10:00 pm Thursday- 7:00 am - 10:00 pm     Friday- 7:00 am - 10:00 pm         Saturday- 7:00 am - 10:00 pm    Sunday- 7:00 am - 10:00 pm          Connection Center Hours-            Monday- 6:00 am  - 11:00 pm Tuesday- 6:00 am - 11:00 pm  Wednesday- 6:00 am - 11:00 pm Thursday- 6:00 am - 11:00 pm     Friday- 6:00 am - 11:00 pm         Saturday- 6:00 am - 11:00 pm    Sunday- 6:00 am - 11:00 pm         Garden Center Hours-                  Monday- 6:00 am  - 11:00 pm Tuesday- 6:00 am - 11:00 pm  Wednesday- 6:00 am - 11:00 pm Thursday- 6:00 am - 11:00 pm     Friday- 6:00 am - 11:00 pm         Saturday- 6:00 am - 11:00 pm    Sunday- 6:00 am - 11:00 pm        Money Center Hours-                    Monday- 6:00 am  - 11:00 pm Tuesday- 6:00 am - 11:00 pm  Wednesday- 6:00 am - 11:00 pm Thursday- 6:00 am - 11:00 pm     Friday- 6:00 am - 11:00 pm         Saturday- 6:00 am - 11:00 pm    Sunday- 6:00 am - 11:00 pm          Patio & Garden Services Hours-   Monday- 6:00 am  - 11:00 pm Tuesday- 6:00 am - 11:00 pm  Wednesday- 6:00 am - 11:00 pm Thursday- 6:00 am - 11:00 pm     Friday- 6:00 am - 11:00 pm         Saturday- 6:00 am - 11:00 pm    Sunday- 6:00 am - 11:00 pm        Photo Center Hours-                     Monday- 9:00 am  - 8:00 pm Tuesday- 9:00 am - 8:00 pm  Wednesday- 9:00 am - 8:00 pm Thursday- 9:00 am - 8:00 pm     Friday- 9:00 am - 8:00 pm         Saturday- 9:00 am - 8:00 pm    Sunday- 10:00 am - 8:00 pm        Vision & Glasses Hours-                Monday- 9:00 am  - 7:00 pm Tuesday- 9:00 am - 7:00 pm  Wednesday- 9:00 am - 7:00 pm Thursday- 9:00 am - 7:00 pm     Friday- 9:00 am - 7:00 pm         Saturday- 9:00 am - 6:00 pm    Sunday- 9:00 am - 7:00 pm,(814) 724-6267,https://www.walmart.com/?veh=seo&cn=gepa,"16086 Conneaut Lake Rd, Meadville, PA 16335",POINT (-80.213860 41.621990)
Zatsick’s Golden Dawn,Monday- 7:00 am  - 7:00 pm Tuesday- 7:00 am - 7:00 pm  Wednesday- 7:00 am - 7:00 pm Thursday- 7:00 am - 7:00 pm     Friday- 7:00 am - 7:00 pm         Saturday- 7:00 am - 7:00 pm    Sunday- 7:00 am - 5:00 pm ,(814) 382-5885,,"450 State St, Conneaut Lake, PA 16316",POINT (-80.306350 41.602060)
101 South,Monday- 5:00 am  - 9:00 pm Tuesday- 5:00 am - 9:00 pm  Wednesday- 5:00 am - 9:00 pm Thursday- 5:00 am - 9:00 pm     Friday- 5:00 am - 9:00 pm         Saturday- 6:00 am - 9:00 pm    Sunday- 7:00 am - 9:00 pm,(814) 425-7874,,"101 S Franklin St, Cochranton, PA 16314",POINT (-80.048120 41.520050)
